id,year,value
ASI,2042,5006508612
ASI,2043,5017764056
ASI,2044,5027913596
ASI,2045,5036959716
ASI,2046,5044908373
ASI,2047,5051774119
ASI,2048,5057579933
ASI,2049,5062354617
ASI,2050,5066124555
ASI,2051,5068911098
ASI,2052,5070730419
ASI,2053,5071598685
ASI,2054,5071530756
ASI,2055,5070545144
ASI,2056,5068664834
ASI,2057,5065918706
ASI,2058,5062339229
ASI,2059,5057962320
ASI,2060,5052823005
ASI,2061,5046948904
ASI,2062,5040369202
ASI,2063,5033122700
ASI,2064,5025250995
ASI,2065,5016791831
ASI,2066,5007776946
ASI,2067,4998231910
ASI,2068,4988180328
ASI,2069,4977642833
ASI,2070,4966641146
ASI,2071,4955203963
ASI,2072,4943358906
ASI,2073,4931125264
ASI,2074,4918520038
ASI,2075,4905563851
ASI,2076,4892281947
ASI,2077,4878705926
ASI,2078,4864870955
ASI,2079,4850815644
ASI,2080,4836576722
ASI,2081,4822179691
ASI,2082,4807652411
ASI,2083,4793036445
ASI,2084,4778377037
ASI,2085,4763712045
ASI,2086,4749068116
ASI,2087,4734461038
ASI,2088,4719903040
ASI,2089,4705400630
ASI,2090,4690960744
ASI,2091,4676592754
ASI,2092,4662307789
ASI,2093,4648116993
ASI,2094,4634029603
ASI,2095,4620051111
ASI,2096,4606182654
ASI,2097,4592420662
ASI,2098,4578756726
ASI,2099,4565177702
ASI,2100,4551665778
AFR,1800,73275913
AFR,1801,73318267
AFR,1802,73360788
AFR,1803,73403482
AFR,1804,73446342
AFR,1805,73489374
AFR,1806,73532584
AFR,1807,73575961
AFR,1808,73619517
AFR,1809,73663245
AFR,1810,73707156
AFR,1811,73751239
AFR,1812,73795506
AFR,1813,73839953
AFR,1814,73884585
AFR,1815,73929396
AFR,1816,73974396
AFR,1817,74019581
AFR,1818,74064953
AFR,1819,74110515
AFR,1820,74156265
AFR,1821,74583063
AFR,1822,75013279
AFR,1823,75446949
AFR,1824,75884093
AFR,1825,76324748
AFR,1826,76768941
AFR,1827,77216711
AFR,1828,77668080
AFR,1829,78123084
AFR,1830,78581752
AFR,1831,79044127
AFR,1832,79510234
AFR,1833,79980112
AFR,1834,80453783
AFR,1835,80931290
AFR,1836,81412668
AFR,1837,81897952
AFR,1838,82387172
AFR,1839,82880369
AFR,1840,83377571
AFR,1841,83878824
AFR,1842,84384161
AFR,1843,84893615
AFR,1844,85407232
AFR,1845,85925039
AFR,1846,86447086
AFR,1847,86973398
AFR,1848,87504032
AFR,1849,88039012
AFR,1850,88578385
AFR,1851,89127944
AFR,1852,89682408
AFR,1853,90241836
AFR,1854,90806299
AFR,1855,91375872
AFR,1856,91950628
AFR,1857,92530635
AFR,1858,93115973
AFR,1859,93706725
AFR,1860,94302966
AFR,1861,94904786
AFR,1862,95496241
AFR,1863,96092545
AFR,1864,96693746
AFR,1865,97299889
AFR,1866,97911013
AFR,1867,98527170
AFR,1868,99148406
AFR,1869,99774763
AFR,1870,100406291
AFR,1871,101117861
AFR,1872,101838026
AFR,1873,102565019
AFR,1874,103298912
AFR,1875,104039799
AFR,1876,104787750
AFR,1877,105542858
AFR,1878,106305205
AFR,1879,107074866
AFR,1880,107851939
AFR,1881,108636514
AFR,1882,109426615
AFR,1883,110224369
AFR,1884,111029866
AFR,1885,111843197
AFR,1886,112664463
AFR,1887,113493751
AFR,1888,114331172
AFR,1889,115176812
AFR,1890,116030773
AFR,1891,116893156
AFR,1892,117762947
AFR,1893,118641360
AFR,1894,119528513
AFR,1895,120424500
AFR,1896,121329436
AFR,1897,122243424
AFR,1898,123166583
AFR,1899,124099028
AFR,1900,125040866
AFR,1901,125992220
AFR,1902,126973529
AFR,1903,127965168
AFR,1904,128967262
AFR,1905,129993774
AFR,1906,131031265
AFR,1907,132079900
AFR,1908,133139829
AFR,1909,134211201
AFR,1910,135294184
AFR,1911,136388933
AFR,1912,137490975
AFR,1913,138604847
AFR,1914,139884974
AFR,1915,141181396
AFR,1916,142494346
AFR,1917,143824096
AFR,1918,145170903
AFR,1919,146535027
AFR,1920,147916741
AFR,1921,149319745
AFR,1922,150895753
AFR,1923,152494441
AFR,1924,154116200
AFR,1925,155761438
AFR,1926,157430552
AFR,1927,159242853
AFR,1928,161085150
AFR,1929,162958104
AFR,1930,164862371
AFR,1931,166798631
AFR,1932,169362937
AFR,1933,171977701
AFR,1934,174649501
AFR,1935,177379901
AFR,1936,180170504
AFR,1937,183123909
AFR,1938,186144660
AFR,1939,189234641
AFR,1940,192395816
AFR,1941,195642073
AFR,1942,198963812
AFR,1943,202368807
AFR,1944,205853859
AFR,1945,209430744
AFR,1946,213200646
AFR,1947,217125752
AFR,1948,221156965
AFR,1949,225078494
AFR,1950,229605609
AFR,1951,234292968
AFR,1952,239190007
AFR,1953,244301815
AFR,1954,249632606
AFR,1955,255185748
AFR,1956,260963639
AFR,1957,266967827
AFR,1958,273199201
AFR,1959,279658426
AFR,1960,286347067
AFR,1961,293268901
AFR,1962,300430953
AFR,1963,307843999
AFR,1964,315521212
AFR,1965,323474297
AFR,1966,331714916
AFR,1967,340249854
AFR,1968,349080570
AFR,1969,358205894
AFR,1970,367629309
AFR,1971,377352816
AFR,1972,387392212
AFR,1973,397781384
AFR,1974,408563281
AFR,1975,419769682
AFR,1976,431409851
AFR,1977,443478981
AFR,1978,455975922
AFR,1979,468894234
AFR,1980,482225160
AFR,1981,495966599
AFR,1982,510108971
AFR,1983,524625045
AFR,1984,539479881
AFR,1985,554643740
AFR,1986,570101243
AFR,1987,585842600
AFR,1988,601850367
AFR,1989,618107393
AFR,1990,634598367
AFR,1991,651325914
AFR,1992,668282837
AFR,1993,685434968
AFR,1994,702739893
AFR,1995,720175026
AFR,1996,737727158
AFR,1997,755427195
AFR,1998,773352666
AFR,1999,791609254
AFR,2000,810278228
AFR,2001,829392862
AFR,2002,848950038
AFR,2003,868950340
AFR,2004,889381491
AFR,2005,910236931
AFR,2006,931520472
AFR,2007,953248689
AFR,2008,975440579
AFR,2009,998119068
AFR,2010,1021297696
AFR,2011,1044975841
AFR,2012,1069139513
AFR,2013,1093770329
AFR,2014,1118842690
AFR,2015,1144330678
AFR,2016,1170227715
AFR,2017,1196515603
AFR,2018,1223142152
AFR,2019,1250042911
AFR,2020,1277169397
AFR,2021,1304495757
AFR,2022,1332023197
AFR,2023,1359764717
AFR,2024,1387746859
AFR,2025,1415988615
AFR,2026,1444487111
AFR,2027,1473230909
AFR,2028,1502221118
AFR,2029,1531459000
AFR,2030,1560944419
AFR,2031,1590673561
AFR,2032,1620642043
AFR,2033,1650847743
AFR,2034,1681288409
AFR,2035,1711959413
AFR,2036,1742853236
AFR,2037,1773958995
AFR,2038,1805263638
AFR,2039,1836751898
AFR,2040,1868408067
AFR,2041,1900219802
AFR,2042,1932172479
AFR,2043,1964244811
AFR,2044,1996412828
AFR,2045,2028654698
AFR,2046,2060953896
AFR,2047,2093296291
AFR,2048,2125665415
AFR,2049,2158045197
AFR,2050,2190420265
AFR,2051,2222776438
AFR,2052,2255099961
AFR,2053,2287376769
AFR,2054,2319593189
AFR,2055,2351736586
AFR,2056,2383794044
AFR,2057,2415755140
AFR,2058,2447613092
AFR,2059,2479363022
AFR,2060,2510998728
AFR,2061,2542510809
AFR,2062,2573888056
AFR,2063,2605120271
AFR,2064,2636196859
AFR,2065,2667107364
AFR,2066,2697841848
